message,label
"Protect your identity with our advanced tools. Try free.",spam
"Good luck with your final presentation today!",not spam
"Exclusive clearance event—everything must go!",spam
"Let’s finalize the plan over lunch.",not spam
"Renew your antivirus license to stay protected.",spam
"Can you share the project files on Google Drive?",not spam
"Claim your free smartwatch. Limited time offer.",spam
"Have you emailed the professor about the extension?",not spam
"Act fast! Only 5 spots left for our VIP retreat.",spam
"Can you print the handouts before the meeting?",not spam
"Win free tickets to your dream concert! Enter now.",spam
"Let’s prep for the presentation after class.",not spam
"Congratulations! You’ve earned a cashback reward.",spam
"I baked muffins for tomorrow’s meeting.",not spam
"Verify your password to continue using your wallet.",spam
"Remember to back up your files tonight.",not spam
"Start your own business with zero investment.",spam
"I’ll be a little late to the workshop.",not spam
"Alert: You've received an unclaimed payment.",spam
"I scheduled our dentist appointment for 4 PM.",not spam
"Click here to see who viewed your profile!",spam
"Want to meet early and go over the slides?",not spam
"Turn your phone into a money-making machine!",spam
"Thanks for proofreading my draft so quickly!",not spam
"Update your delivery address to avoid delay.",spam
"Let’s catch up at the café near campus.",not spam
"Win groceries for a year! Enter the contest now.",spam
"Don’t forget to bring your ID for the exam.",not spam
"Congratulations! You've won free groceries.",spam
"I’ll reserve a table for dinner tonight.",not spam
"Zero-interest EMIs now available on all purchases.",spam
"Your advice really helped with the application.",not spam
"Important: Your medical records are incomplete. Update now.",spam
"Meet me at the library at 3 PM?",not spam
"Claim your free holiday package today.",spam
"I submitted the event registration form.",not spam
"100% guaranteed weight loss solution. Order now!",spam
"Let’s rehearse before our final pitch tomorrow.",not spam
"New job alert! Companies hiring near you.",spam
"Are you joining the Zoom call at 5?",not spam
"Unlock early access to premium content now.",spam
"Hope your headache’s better today.",not spam
"Fastest way to boost your credit score. Start now!",spam
"Do you want to share a cab to the airport?",not spam
"Free gift card with every referral. Invite friends!",spam
"Let’s finalize our project timeline today.",not spam
"New AI tool can make you rich overnight!",spam
"Here’s the link to the shared folder.",not spam
"Buy now, pay later. No interest!",spam
"I updated the team roster and sent it over.",not spam
"Sign up now for crypto success coaching!",spam
"Let’s go over the client feedback together.",not spam
"Urgent: Server downtime notification. Click for details.",spam
"I’ll call you after the meeting ends.",not spam
"Your account was accessed from an unknown device. Click to review activity.",spam
"Don’t forget your lunch in the fridge.",not spam
"Urgent! Your Netflix account is on hold. Update payment info.",spam
"Let’s work on the presentation together tonight.",not spam
"You have a pending claim. Submit documents now.",spam
"I’ll meet you by the library entrance.",not spam
"Boost your credit instantly! Join today.",spam
"Can you send over the design files?",not spam
"Double your productivity with this one secret!",spam
"How was your internship interview?",not spam
"Free upgrade available for your phone. Click now.",spam
"I’m excited for our road trip next weekend.",not spam
"Limited-time chance to erase your debt!",spam
"Can you confirm the guest list for Friday?",not spam
"Act now to lock in your mortgage rate.",spam
"I uploaded the new budget sheet.",not spam
"Claim your free scratch card today!",spam
"Thanks for grabbing coffee with me earlier.",not spam
"Urgent notice: Reactivate your cloud storage today.",spam
"Let’s review the client notes this afternoon.",not spam
"Download your tax documents securely. Click here.",spam
"Please water the plants while I’m away.",not spam
"Win a Tesla Model 3! Enter here.",spam
"I can bring extra chairs for the meeting.",not spam
"Your package is on hold. Pay customs fee now.",spam
"Remember to upload the class notes.",not spam
"Exclusive deal on luxury watches. Shop now!",spam
"Are you joining the gym session today?",not spam
"Protect your browser from threats. Update now.",spam
"Don’t forget to walk the dog after dinner.",not spam
"Massive discount on course enrollments. Limited seats!",spam
"Want to join the game night tomorrow?",not spam
"Act now to avoid data charges.",spam
"Please check my edits in the document.",not spam
"You’ve been pre-selected for a free health checkup.",spam
"Looking forward to our study session.",not spam
"Click to confirm your tax rebate claim.",spam
"Hope you had a great time at the reunion!",not spam
"Get paid for sharing your opinion! Join now.",spam
"Let’s finalize our team project details.",not spam
"New miracle supplement burns fat fast!",spam
"Just sent you the updated slides.",not spam
"Get 75% off your annual subscription now!",spam
"Want to grab lunch after class?",not spam
"Final reminder: Payment overdue.",spam
"Let’s carpool to the event tomorrow.",not spam
"Upgrade to gold membership for free.",spam
"How’s the prep for your interview going?",not spam
"Win a year’s supply of groceries! Enter here.",spam
"Don’t forget your umbrella—it might rain today.",not spam
"Your antivirus protection is about to expire.",spam
"Thanks for being a great teammate!",not spam
"You’re eligible for a student grant. Apply now.",spam
"Let’s work on the script later tonight.",not spam
"Check out these unbelievable flight deals!",spam
"I’ll send you the notes from class.",not spam
"Limited offer: Learn to trade like a pro!",spam
"Dinner plans still on for tonight?",not spam
"Urgent: Email verification required immediately.",spam
"Meet me in the cafeteria at noon.",not spam
"Click here to claim your e-book giveaway!",spam
"I loved your presentation in class!",not spam
"Unsubscribe from ads and get $10 free.",spam
"Can you send me the workshop location?",not spam
"Free access to our online training bundle. Join now!",spam
"How was your meeting with the advisor?",not spam
"Exclusive: Your phone is eligible for a trade-in bonus. Tap to learn more.",spam
"I left your charger on the kitchen counter.",not spam
"Earn passive income effortlessly. Sign up now!",spam
"Let’s meet at the library to prep for the exam.",not spam
"Get a free trial of our weight loss plan today!",spam
"Can you pick up bread on your way home?",not spam
"Final warning: Your cloud space is full. Upgrade now.",spam
"Thanks for helping me with the group project.",not spam
"New investment tip: Make $1000 in a week!",spam
"Don't forget to call grandma tonight.",not spam
"Click here to receive your free software license.",spam
"I reserved a table for us at 7 PM.",not spam
"Flash Sale: 90% off on all electronics today only!",spam
"Are you joining the Zoom call later?",not spam
"Complete your profile and get a $20 gift card!",spam
"Can you bring your notes for the study group?",not spam
"Important: Secure your tax refund before the deadline.",spam
"I’ve sent you the latest code changes.",not spam
"Upgrade to premium and skip all ads!",spam
"Let’s go over the project rubric together.",not spam
"Win free tickets to a music concert near you!",spam
"Is the WiFi at your place working today?",not spam
"Click to view your exclusive real estate offer.",spam
"Your book just arrived. I left it on your desk.",not spam
"Get rich flipping homes! Learn how now.",spam
"Will you be at the team meeting tomorrow?",not spam
"Special offer: First month free with membership!",spam
"Can you check if the room is available at 3 PM?",not spam
"You've qualified for a free vacation package.",spam
"Let’s discuss the assignment before class.",not spam
"Get a $200 bonus for opening a new account.",spam
"I’m waiting outside the building.",not spam
"Urgent: Action required to keep your account active.",spam
"Thanks again for lending me your notes.",not spam
"Discover how I made six figures from home!",spam
"Let’s split up the tasks for the project.",not spam
"You’ve earned a mystery reward! Reveal now.",spam
"Don't forget to reply to the professor’s email.",not spam
"Click to check your new horoscope fortune!",spam
"Are we still doing lunch on Thursday?",not spam
"Limited-time crypto bonus for new users!",spam
"I’ll drop by your office around 2 PM.",not spam
"Secure your spot in our VIP club today!",spam
"Can we go over the readings together?",not spam
"Exclusive Black Friday deal ends tonight!",spam
"I left the document on your desk.",not spam
"Boost your Instagram followers overnight!",spam
"Want to revise together this weekend?",not spam
"Pre-approved for your dream car loan. Apply now!",spam
"Let’s get started on the report this afternoon.",not spam
"Receive $50 just for taking this survey!",spam
"Let’s meet in front of the library at 4.",not spam
"Alert! Your email is at risk. Secure it now.",spam
"Thanks for your help with the project!",not spam
"Exclusive discount only for you. Grab it now!",spam
"Don’t forget to charge your laptop tonight.",not spam
"Get a free sample of our skincare line!",spam
"I’ll be home a little late tonight.",not spam
"Update your login info to avoid account deactivation.",spam
"Can you email me the notes from today's class?",not spam
"Limited-time offer: Triple your earnings today!",spam
"I brought the books you asked for.",not spam
"Final chance: Get a free upgrade!",spam
"Let’s go through the syllabus this weekend.",not spam
"Your number was chosen for a surprise gift.",spam
"Do you want to go biking tomorrow?",not spam
"Buy now and get 3 months free!",spam
"I added the reference links to our document.",not spam
"Act now! Your file access will expire.",spam
"Did you see the event on campus this week?",not spam
"You’ve won a gift card! Redeem immediately.",spam
"Are you using the same laptop for coding?",not spam
"Subscribe today to unlock premium features.",spam
"Want to split the bill for the ride?",not spam
"Join our referral program and earn big!",spam
"I uploaded the latest version to the drive.",not spam
"Reclaim your unclaimed funds now!",spam
"Should we order pizza or cook tonight?",not spam
"Your business can’t miss this tool!",spam
"I’ll be at the meeting 5 minutes early.",not spam
"Flash Alert! Free entry ends tonight!",spam
"Let me know your availability for the call.",not spam
"Instant access to premium content—just click!",spam
"Let’s try to wrap the project early.",not spam
"Check out this deal before it expires!",spam
"Will you be joining the book club meeting?",not spam
"Win an all-inclusive holiday to Bali!",spam
"Don't forget to bring your ID tomorrow.",not spam
"Get exclusive rewards just by signing up.",spam
"Can you pass by the grocery store?",not spam
"Reminder: Your insurance expires soon.",spam
"Are you free for lunch around 2?",not spam
"Boost your performance with this magic pill.",spam
"I reserved our spot for the workshop.",not spam
"Congratulations! You've made it to the next round!",spam
"Want to walk to class together?",not spam
"Your free course access link is inside.",spam
"I'll text you when I leave campus.",not spam
"Early bird sale! Save 80% now.",spam
"Let’s finish the lab report tonight.",not spam
"You’ve been selected to join our elite club!",spam
"Thanks for the birthday wishes!",not spam
"Earn while you sleep. Start today!",spam
"Meeting is at 9. Don’t be late!",not spam
"Secure your financial future in 7 days.",spam
"I submitted our assignment this morning.",not spam
"Your device needs an urgent update.",spam
"I’ll be at the cafe near your building.",not spam
"Claim a free consultation now!",spam
"Shall I bring snacks for everyone?",not spam
"Get paid to test new apps!",spam
"Are we still on for dinner?",not spam
"You’ve won! Collect your smart watch today.",spam
"I’m wearing the hoodie you gifted me.",not spam
"Protect your PC with this advanced software.",spam
"Let’s go through the presentation slides.",not spam
"Enroll now and unlock premium benefits.",spam
"Bring a jacket—it’s chilly today!",not spam
"Your free reward is one click away!",spam
"Did you finish your part of the project?",not spam
"Act fast! These stocks are about to explode.",spam
"Don’t forget to reply to the RSVP.",not spam
"Breakthrough system earns money in minutes!",spam
"Let’s try that new cafe tomorrow.",not spam
"Final alert: Complete your verification now.",spam
"Can you review my code?",not spam
"Revolutionary product now in stock!",spam
"See you in the front row at the seminar.",not spam
"You're pre-approved for a financial grant.",spam
"I booked the group study room.",not spam
"Time-sensitive bonus: Redeem today!",spam
"Don’t forget to register for the workshop.",not spam
"Turn your passion into profits today!",spam
"Is your schedule open this weekend?",not spam
"Click to begin your free trial!",spam
"Thanks for covering my shift.",not spam
"Start earning from your smartphone!",spam
"I'll be at the library after lunch.",not spam
"Warning! Your subscription is about to end.",spam
"Let’s finish the assignment early.",not spam
"Download the secret to online success!",spam
"I added you to the group chat.",not spam
"Confirm your attendance for exclusive access.",spam
"Are you done with the project outline?",not spam
"Uncover hidden revenue sources!",spam
"Let’s prep together for the midterm.",not spam
"Urgent: Verify your login immediately!",spam
"Will you present first in class?",not spam
"Transform your life with this course!",spam
"I’ve updated the Excel file.",not spam
"Congratulations! You’ve earned a free backpack.",spam
"See you at the bus stop at 8.",not spam
"Get the best stock tips daily!",spam
"Want to review the slides together?",not spam
"Instant access to millionaire tips.",spam
"Thanks for fixing the printer!",not spam
"Today only! Upgrade your plan free.",spam
"Your order is waiting. Confirm now.",spam
"Let’s leave for the movie by 6.",not spam
"Exclusive early access to our launch!",spam
"Don’t forget to lock the door.",not spam
"Access hidden travel discounts now!",spam
"Can you print the report?",not spam
"Click here to collect your reward.",spam
"Hope your class went well today!",not spam
"Congratulations, you’ve been awarded a grant!",spam
"Are you bringing the laptop to class?",not spam
"Buy one, get three free today only!",spam
"Let me know when you’re ready to leave.",not spam
"Check your eligibility for zero interest!",spam
"Need help with your science assignment?",not spam
"Get lifetime access for just $5!",spam
"Can you call the doctor’s office?",not spam
"Final call! Offer ends at midnight.",spam
"Let's take the early morning slot.",not spam
"Earn your first $500 by next week!",spam
"Bring the extra charger if you can.",not spam
"Verify your phone to claim prize.",spam
"Will you join the art club event?",not spam
"Download this eBook and get free coaching!",spam
"Thanks for organizing today’s meeting!",not spam
"Important: System maintenance in progress.",spam
"I baked extra cookies for tomorrow.",not spam
"Join thousands who earn online daily.",spam
"Let's take notes together in class.",not spam
"Get instant cashback on all orders!",spam
"I'll see you in the cafeteria.",not spam
"You're chosen for an exclusive internship!",spam
"Did you practice the speech?",not spam
"Tap here for free mobile credits!",spam
"Pack an umbrella—looks like rain!",not spam
"Start trading crypto in 3 easy steps!",spam
"Are we wearing formal clothes tomorrow?",not spam
"Unlock secret rewards by registering now!",spam
"Let’s rehearse the skit one more time.",not spam
"Get your bonus coins now!",spam
"Can you send me the Excel template?",not spam
"Only a few spots left—enroll today!",spam
"I’ll save you a seat in class.",not spam
"Earn cash by referring your friends!",spam
"Make sure to submit the form.",not spam
"Your fitness report is ready. View now.",spam
"Did you attend the seminar yesterday?",not spam
"Win exclusive gear with our lucky draw!",spam
"I’ll help you pack your luggage.",not spam
"Immediate action required for account recovery.",spam
"Let’s go together for the workshop.",not spam
"Biggest online sale starts now!",spam
"I’m outside. Come down when you're ready.",not spam
"Get your instant credit report for free!",spam
"Do you want to split the project slides?",not spam
"Congratulations! You're selected for an elite giveaway.",spam
"Let me know when you’re done with your meeting.",not spam
"Exclusive cashback only for you—click now!",spam
"Can you bring an extra pen to class?",not spam
"Your tax refund is waiting. Claim today!",spam
"Shall we revise together before the quiz?",not spam
"Big rewards await you. Join now!",spam
"I’ll grab coffee for both of us.",not spam
"Upgrade your account to avoid restrictions.",spam
"Can you check the schedule for tomorrow?",not spam
"You’ve been handpicked for a luxury cruise!",spam
"I emailed you the reference article.",not spam
"Act now and secure your financial freedom!",spam
"Don’t forget the birthday card!",not spam
"Win rewards by referring your friends!",spam
"I’ll be in the lounge area after class.",not spam
"Get early access to investment tips!",spam
"Are you going to the lab session?",not spam
"Urgent: Account login attempt blocked!",spam
"Let's grab bubble tea on the way.",not spam
"Earn points and redeem amazing gifts!",spam
"Bring your notebook for the session.",not spam
"Get a personalized diet plan today!",spam
"Have you registered for the hackathon?",not spam
"Flash Sale! 90% off just for you!",spam
"Let’s study in the library basement.",not spam
"Join now and double your profits!",spam
"I saved your seat in the front row.",not spam
"Subscribe now and unlock 50+ courses!",spam
"Did you find the lost USB drive?",not spam
"Free bonus gift with your next purchase!",spam
"Want to carpool to campus tomorrow?",not spam
"Boost your income by working part-time!",spam
"See you at the auditorium at 3.",not spam
"Download our app for surprise rewards!",spam
"Can you send me the syllabus PDF?",not spam
"Start your passive income journey now!",spam
"I’ll wait outside the building.",not spam
"Only today! Premium access for free!",spam
"Did you confirm your seminar topic?",not spam
"Congratulations! You qualify for a free trip.",spam
"I printed two extra handouts for you.",not spam
"Get hired faster with our resume builder!",spam
"Let’s plan the group presentation today.",not spam
"Complete the survey and win a smartwatch!",spam
"Will you be using the projector today?",not spam
"Join this course and get certified free!",spam
"I’ll bring the markers for the whiteboard.",not spam
"Win big playing our trivia challenge!",spam
"Can you check my grammar in the draft?",not spam
"Your lucky day! Claim your prize now.",spam
"Text me when you reach the station.",not spam
"Get exclusive tips from top investors!",spam
"I’ve sent the group invite to your email.",not spam
"Act now to renew your health coverage.",spam
"Let’s prepare flashcards for revision.",not spam
"Secure your spot in this free workshop!",spam
"I uploaded the video to the shared folder.",not spam
"Only a few hours left to claim this deal!",spam
"Can we meet before class for quick prep?",not spam
"Sign up for the trial—no credit card needed!",spam
"I’m in the library near the window seats.",not spam
"Boost your profile visibility today!",spam
"Did you submit the assignment on Canvas?",not spam
"Grab your reward before midnight!",spam
"Let's finalize our budget plan.",not spam
"Earn cash fast with no experience!",spam
"Can you add your feedback to the document?",not spam
"Download now and access premium music!",spam
"Let me know if you want to rehearse again.",not spam
"Win free groceries for a month!",spam
"I’ll email you the meeting agenda.",not spam
"Get rich with one simple decision!",spam
"Let's revise chapter 5 together.",not spam
"Congratulations! You're the chosen winner!",spam
"I saved the PDF version of the readings.",not spam
"Save big with our student discount offer!",spam
"Are you free to practice after lunch?",not spam
"Get a fitness plan designed for you!",spam
"I think you left your pen in class.",not spam
"Unlock the secrets of stock trading!",spam
"Are we meeting at the same spot today?",not spam
"Time is running out—register now!",spam
"Let’s brainstorm project ideas today.",not spam
"Free eBook download—no sign-up needed!",spam
"Your flash drive is on the desk.",not spam
"Special offer just for college students!",spam
"I’ll meet you at the cafe around 4.",not spam
"Access premium webinars for free!",spam
"Can you help me with the math problem?",not spam
"Earn ₹5,000/week with this simple method!",spam
"I’m printing the slides now.",not spam
"Register and get a bonus worth $100!",spam
"Will you be joining us for lunch?",not spam
"Limited time: Buy 1 get 2 free!",spam
"I wrote down our discussion notes.",not spam
"Unlock hidden job opportunities now!",spam
"Text me your seat number.",not spam
"Tap here for quick home financing!",spam
"Did you read the class announcement?",not spam
"Get the secret to fast success!",spam
"I’ll call you after the meeting ends.",not spam
"Sign up now for surprise rewards!",spam
"I packed extra snacks for you.",not spam
"Join the lucky draw—win instantly!",spam
"I’ll meet you by the parking lot.",not spam
"Earn points just for walking!",spam
"Let's divide the tasks evenly.",not spam
"Upgrade your device protection plan.",spam
"Can you photocopy this handout?",not spam
"Book your free one-on-one session now!",spam
"Are you ready for the oral presentation?",not spam
"Flash deal! 70% off electronics!",spam
"I’ve added my slides to the deck.",not spam
"Start learning coding for free today!",spam
"Let me know when your class ends.",not spam
"Get your dream job with one click!",spam
"I’ve bookmarked the article we discussed.",not spam
"Your reward points are expiring soon!",spam
"See you in the hallway after class.",not spam
"Download now and unlock surprise bonuses!",spam
"Thanks for helping me carry my books!",not spam
"Join our webinar and earn a certificate!",spam
"I saved the spreadsheet to the cloud.",not spam
"Claim your cashback on the next purchase!",spam
"Let’s submit our report together.",not spam
"Instant loan approval—click here!",spam
"Want to practice the mock test together?",not spam
"Win ₹10,000 by playing our quiz!",spam
"Thanks for walking me home yesterday.",not spam
"Join our beta program and get paid!",spam
"Are you using the same presentation file?",not spam
"Get free tools to manage your time!",spam
"Let's revise our code before submission.",not spam
"One-time offer! Get 12 months free!",spam
"Meet me at the lab after your break.",not spam
"Receive cashback instantly on sign-up!",spam
"Are you done with your weekly journal?",not spam
"100% free gift inside—don’t miss!",spam
"Can you bring a USB adapter?",not spam
"Start your earnings today, risk-free!",spam
"I’ve added you to the document.",not spam
"Win the latest tablet now!",spam
"Did you find a roommate yet?",not spam
"Join now and skip the waiting list!",spam
"I shared the file in our WhatsApp group.",not spam
"Get the secret formula to success!",spam
"Let’s discuss feedback from our mentor.",not spam
"Bonus alert! Log in to collect it.",spam
"Make sure your mic works for the call.",not spam
"Special holiday promo ends tonight!",spam
"I took notes for you in class.",not spam
"Your free entry code is inside!",spam
"Are you attending the guest lecture?",not spam
"Boost your GPA with our help!",spam
"Let’s meet at the library stairs.",not spam
"Free recharge offer—valid for 1 day!",spam
"Print two copies for submission please.",not spam
"Enter now to win free fuel!",spam
"Will you join the video call?",not spam
"Download the secret resume template!",spam
"Congratulations! You've been awarded a vacation voucher.",spam
"Can you remind me to water the plants tomorrow?",not spam
